time,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,gripper_position_left,gripper_position_right
1752586353.654267,-0.10893183946609497,-51.56826400756836,4.327859878540039,23.74003028869629,0.23063606023788452,1.2034661769866943,-0.23054850101470947,0.011257893405854702,0.011257893405854702
1752586353.6888459,-0.25968867540359497,-51.29055404663086,4.276285171508789,23.81937599182129,0.23063606023788452,1.2483270168304443,-0.2690006494522095,0.011257893405854702,0.011257893405854702
1752586353.7224917,-0.28349238634109497,-50.75100326538086,4.117593765258789,23.41074562072754,0.20408576726913452,1.1714227199554443,-0.3019596338272095,0.011257893405854702,0.011257893405854702
1752586353.7563727,-0.10893183946609497,-50.16384506225586,4.145364761352539,23.08542823791504,0.22422736883163452,1.0936028957366943,-0.24336588382720947,0.011261832900345325,0.011261832900345325
1752586353.7904475,0.09339970350265503,-50.49709701538086,4.169168472290039,23.28775978088379,0.15739387273788452,1.1128289699554443,-0.23695719242095947,0.011261832900345325,0.011261832900345325
1752586353.8245783,-0.08116084337234497,-51.13582992553711,4.145364761352539,23.56546974182129,0.13084357976913452,1.0743768215179443,-0.2561832666397095,0.011261832900345325,0.011261832900345325
1752586353.858567,-0.43424922227859497,-51.26278305053711,4.042215347290039,23.64084815979004,0.13816779851913452,1.0871942043304443,-0.24977457523345947,0.011261832900345325,0.011261832900345325
1752586353.8928342,-0.561202347278595,-51.00887680053711,3.962869644165039,23.49009132385254,0.15098518133163452,1.1192376613616943,-0.2690006494522095,0.011261832900345325,0.011261832900345325
1752586353.9267123,-0.33506709337234497,-50.60024642944336,4.042215347290039,23.20841407775879,0.19035285711288452,1.0936028957366943,-0.2625919580459595,0.011261832900345325,0.011261832900345325
1752586353.9608078,-0.15653926134109497,-50.77877426147461,4.169168472290039,23.33536720275879,0.20408576726913452,1.1256463527679443,-0.2690006494522095,0.011265444569289684,0.011265444569289684
1752586353.9944417,-0.10893183946609497,-51.23897933959961,4.300088882446289,23.43851661682129,0.22422736883163452,1.1448724269866943,-0.2625919580459595,0.011265444569289684,0.011265444569289684
1752586354.0285401,-0.03355342149734497,-51.44131088256836,4.276285171508789,23.53769874572754,0.24345344305038452,1.1970574855804443,-0.24977457523345947,0.011265444569289684,0.011265444569289684
1752586354.0624418,0.09339970350265503,-51.31435775756836,4.379434585571289,23.51389503479004,0.24345344305038452,1.1842401027679443,-0.24336588382720947,0.011265444569289684,0.011265444569289684
1752586354.0963721,0.19258183240890503,-51.08425521850586,4.454813003540039,23.36313819885254,0.2700037360191345,1.2162835597991943,-0.23695719242095947,0.011265444569289684,0.011265444569289684
1752586354.130581,0.29176396131515503,-51.00887680053711,4.482583999633789,23.41074562072754,0.2764124274253845,1.2291009426116943,-0.24336588382720947,0.011269384995102882,0.011269384995102882
1752586354.1644208,0.14497441053390503,-51.11202621459961,4.454813003540039,23.56546974182129,0.3102869391441345,1.2803704738616943,-0.20399820804595947,0.011269384995102882,0.011269384995102882
1752586354.198385,0.06959599256515503,-51.31435775756836,4.431009292602539,23.56546974182129,0.3166956305503845,1.3005120754241943,-0.23695719242095947,0.011269384995102882,0.011269384995102882
1752586354.2322464,0.19258183240890503,-51.44131088256836,4.482583999633789,23.66465187072754,0.3231043219566345,1.3005120754241943,-0.24977457523345947,0.011269384995102882,0.011269384995102882
1752586354.2668092,0.39491337537765503,-51.52065658569336,4.585733413696289,23.69242286682129,0.3029627203941345,1.3069207668304443,-0.2690006494522095,0.011269384995102882,0.011269384995102882
1752586354.300615,0.41871708631515503,-51.46908187866211,4.609537124633789,23.61704444885254,0.3295130133628845,1.3133294582366943,-0.2690006494522095,0.011269384995102882,0.011269384995102882
1752586354.33458,0.31953495740890503,-51.26278305053711,4.557962417602539,23.61704444885254,0.3432459235191345,1.3517816066741943,-0.2763248682022095,0.011272996664047241,0.011272996664047241
1752586354.3684168,0.31953495740890503,-51.23897933959961,4.534158706665039,23.58927345275879,0.3560633063316345,1.3645989894866943,-0.21681559085845947,0.011272996664047241,0.011272996664047241
1752586354.4026892,0.26796025037765503,-51.34212875366211,4.534158706665039,23.69242286682129,0.3560633063316345,1.3966424465179443,-0.24977457523345947,0.011272996664047241,0.011272996664047241
1752586354.436318,0.29176396131515503,-51.49288558959961,4.585733413696289,23.79160499572754,0.3560633063316345,1.4167840480804443,-0.23695719242095947,0.011272996664047241,0.011272996664047241
1752586354.4707701,0.36714237928390503,-51.54446029663086,4.637308120727539,23.74003028869629,0.3432459235191345,1.4231927394866943,-0.24336588382720947,0.011272996664047241,0.011272996664047241
1752586354.504684,0.47029179334640503,-51.64760971069336,4.716653823852539,23.79160499572754,0.3762049078941345,1.4167840480804443,-0.2561832666397095,0.011272996664047241,0.011272996664047241
1752586354.5385401,0.593277633190155,-51.72298812866211,4.740457534790039,23.81937599182129,0.3890222907066345,1.4424188137054443,-0.24336588382720947,0.011275295168161392,0.011275295168161392
1752586354.5725086,0.545670211315155,-51.31435775756836,4.716653823852539,23.69242286682129,0.3762049078941345,1.4872796535491943,-0.21040689945220947,0.011275295168161392,0.011275295168161392
1752586354.6064255,0.49409550428390503,-51.21120834350586,4.688882827758789,23.66465187072754,0.3826135993003845,1.4872796535491943,-0.19758951663970947,0.011275295168161392,0.011275295168161392
1752586354.6403794,0.49409550428390503,-51.49288558959961,4.688882827758789,23.79160499572754,0.3954309821128845,1.4808709621429443,-0.19758951663970947,0.011275295168161392,0.011275295168161392
1752586354.6744068,0.41871708631515503,-51.77456283569336,4.665079116821289,23.91855812072754,0.3890222907066345,1.4872796535491943,-0.22322428226470947,0.011275295168161392,0.011275295168161392
1752586354.7084987,0.39491337537765503,-51.92928695678711,4.637308120727539,23.97013282775879,0.3762049078941345,1.4744622707366943,-0.19118082523345947,0.011275295168161392,0.011275295168161392
1752586354.7427845,0.36714237928390503,-51.67141342163086,4.609537124633789,23.84317970275879,0.3432459235191345,1.4680535793304443,-0.22322428226470947,0.011277593672275543,0.011277593672275543
1752586354.7767296,0.36714237928390503,-51.46908187866211,4.585733413696289,23.71622657775879,0.3560633063316345,1.4488275051116943,-0.23695719242095947,0.011277593672275543,0.011277593672275543
1752586354.810671,0.31953495740890503,-51.38973617553711,4.506387710571289,23.69242286682129,0.3496546149253845,1.4094598293304443,-0.23054850101470947,0.011277593672275543,0.011277593672275543
1752586354.8447049,0.24415653944015503,-51.46908187866211,4.534158706665039,23.69242286682129,0.3359217047691345,1.4231927394866943,-0.21681559085845947,0.011277593672275543,0.011277593672275543
1752586354.8785846,0.24415653944015503,-51.61983871459961,4.482583999633789,23.79160499572754,0.3231043219566345,1.4094598293304443,-0.23695719242095947,0.011277593672275543,0.011277593672275543
1752586354.9126623,0.36714237928390503,-50.34237289428711,4.431009292602539,23.51389503479004,0.2837366461753845,1.5586907863616943,-0.21040689945220947,0.011277593672275543,0.011277593672275543
1752586354.946624,0.34333866834640503,-49.98531723022461,4.300088882446289,23.31156349182129,0.24345344305038452,2.1977288722991943,-0.24336588382720947,0.011279563419520855,0.011279563419520855
1752586354.980396,-0.005782425403594971,-50.01308822631836,4.169168472290039,23.00608253479004,0.21049445867538452,2.2682244777679443,-0.19758951663970947,0.011279563419520855,0.011279563419520855
1752586355.014783,-0.48582392930984497,-52.10781478881836,4.014444351196289,23.61704444885254,0.11161750555038452,2.2874505519866943,-0.14540445804595947,0.011279563419520855,0.011279563419520855
1752586355.0482535,-0.711959183216095,-51.92928695678711,3.728799819946289,23.43851661682129,0.05210822820663452,2.1913201808929443,-0.17744791507720947,0.011279563419520855,0.011279563419520855
1752586355.081589,-0.585006058216095,-51.49288558959961,3.835916519165039,23.05765724182129,0.09788459539413452,2.1583611965179443,-0.11885415762662888,0.011279563419520855,0.011279563419520855
1752586355.1154482,-0.05735713243484497,-50.98110580444336,4.224710464477539,22.98227882385254,0.23063606023788452,2.2682244777679443,-0.17103922367095947,0.011279563419520855,0.011279563419520855
1752586355.149811,0.34333866834640503,-51.26278305053711,4.609537124633789,23.05765724182129,0.3432459235191345,2.3780877590179443,-0.18477213382720947,0.01128218974918127,0.01128218974918127
1752586355.183874,0.36714237928390503,-51.06045150756836,4.534158706665039,23.13303565979004,0.3697962164878845,2.5071771144866943,-0.15181314945220947,0.01128218974918127,0.01128218974918127
1752586355.2176597,0.36714237928390503,-50.77877426147461,4.534158706665039,22.90690040588379,0.3826135993003845,2.4751336574554443,-0.21040689945220947,0.01128218974918127,0.01128218974918127
1752586355.2516007,0.771805465221405,-51.13582992553711,4.665079116821289,22.95847511291504,0.3359217047691345,2.4037225246429443,-0.14540445804595947,0.01128218974918127,0.01128218974918127
1752586355.2855163,1.0217444896697998,-52.00466537475586,4.843606948852539,23.16080665588379,0.3496546149253845,2.3844964504241943,-0.19118082523345947,0.01128218974918127,0.01128218974918127
1752586355.3194606,0.720230758190155,-52.54024887084961,4.819803237915039,23.64084815979004,0.3432459235191345,2.4623162746429443,-0.21681559085845947,0.01128218974918127,0.01128218974918127
1752586355.353479,0.26796025037765503,-50.37014389038086,4.379434585571289,23.13303565979004,0.3295130133628845,2.5593621730804443,-0.17103922367095947,0.011286786757409573,0.011286786757409573
1752586355.3867238,-0.13273555040359497,-49.06490707397461,4.042215347290039,22.57761573791504,0.2965540289878845,2.5007684230804443,-0.08589517325162888,0.011286786757409573,0.011286786757409573
1752586355.4203763,-0.25968867540359497,-48.65627670288086,3.835916519165039,21.84366798400879,0.20408576726913452,2.3332269191741943,-0.07307779043912888,0.011286786757409573,0.011286786757409573
1752586355.4542089,-0.43424922227859497,-51.56826400756836,3.990640640258789,22.47446632385254,0.13816779851913452,2.2810418605804443,-0.07307779043912888,0.011286786757409573,0.011286786757409573
1752586355.4888182,-0.23191767930984497,-52.10781478881836,3.962869644165039,22.45066261291504,0.05851691961288452,2.1785027980804443,-0.033710114657878876,0.011286786757409573,0.011286786757409573
1752586355.5223098,-0.03355342149734497,-52.15938949584961,4.196939468383789,22.27213478088379,0.08506721258163452,2.1199090480804443,-0.060260407626628876,0.011286786757409573,0.011286786757409573
1752586355.5564945,0.06959599256515503,-51.23897933959961,4.224710464477539,21.74051856994629,0.17753547430038452,2.0100457668304443,-0.047443024814128876,0.011291383765637875,0.011291383765637875
1752586355.592079,-0.20811396837234497,-50.34237289428711,4.042215347290039,21.53818702697754,0.17753547430038452,1.9972283840179443,-0.020892731845378876,0.011291383765637875,0.011291383765637875
1752586355.6252935,-0.735762894153595,-49.14425277709961,3.625650405883789,21.28428077697754,0.12443488836288452,1.9267327785491943,-0.053851716220378876,0.011291383765637875,0.011291383765637875
1752586355.6592152,-0.934127151966095,-48.63247299194336,3.395547866821289,21.00657081604004,0.08506721258163452,1.8873651027679443,-0.053851716220378876,0.011291383765637875,0.011291383765637875
1752586355.6937387,-0.561202347278595,-49.37038803100586,3.601846694946289,21.00657081604004,0.03196662664413452,1.7646844387054443,-0.0016666576266288757,0.011291383765637875,0.011291383765637875
1752586355.7273104,-0.20811396837234497,-50.21541976928711,3.887491226196289,20.95896339416504,0.05210822820663452,1.7912347316741943,-0.008075349032878876,0.011291383765637875,0.011291383765637875
